epoch,accuracy,loss,val_accuracy,val_loss
0,0.4375,1.6728730201721191,0.6484375,1.1024599075317383
1,0.7126736044883728,0.9834886193275452,0.75,0.8470363616943359
2,0.8307291865348816,0.6465300917625427,0.828125,0.6514192819595337
3,0.8828125,0.48006725311279297,0.859375,0.5187799334526062
4,0.9105902910232544,0.38007649779319763,0.8515625,0.5546935200691223
5,0.9331597089767456,0.31345829367637634,0.8828125,0.4778395891189575
6,0.953125,0.2595779299736023,0.8984375,0.37295445799827576
7,0.9765625,0.1883392632007599,0.9296875,0.3300180435180664
8,0.9852430820465088,0.15979383885860443,0.9296875,0.35023191571235657
9,0.9835069179534912,0.15760396420955658,0.8984375,0.3701501488685608
10,0.9826388955116272,0.14059430360794067,0.9609375,0.27946001291275024
11,0.9939236044883728,0.11013515293598175,0.953125,0.2761634588241577
12,0.9965277910232544,0.09711762517690659,0.9140625,0.33531785011291504
13,0.9965277910232544,0.08977947384119034,0.9296875,0.30927518010139465
14,0.9991319179534912,0.07623784244060516,0.9453125,0.2676202058792114
15,0.9991319179534912,0.07014372944831848,0.9375,0.27350372076034546
16,0.9991319179534912,0.06819359958171844,0.9375,0.26413866877555847
17,1.0,0.06236763298511505,0.9453125,0.2664417028427124
18,1.0,0.05571813881397247,0.9375,0.2756572365760803
19,1.0,0.053965840488672256,0.9296875,0.27438247203826904
20,1.0,0.050053443759679794,0.9453125,0.25053685903549194
21,1.0,0.04707542434334755,0.9375,0.27020806074142456
22,1.0,0.045294389128685,0.9453125,0.27610236406326294
23,1.0,0.043291300535202026,0.9375,0.23401029407978058
24,1.0,0.041432444006204605,0.9375,0.25492769479751587
25,1.0,0.0389489084482193,0.9296875,0.26476773619651794
26,1.0,0.03740190342068672,0.9375,0.25387877225875854
27,1.0,0.03592422604560852,0.9375,0.262228399515152
28,1.0,0.03457020968198776,0.9375,0.26306670904159546
29,1.0,0.03282492980360985,0.9453125,0.24184049665927887
