epoch,accuracy,loss,val_accuracy,val_loss
0,0.2447916716337204,2.0692992210388184,0.34375,1.6669642925262451
1,0.4835069477558136,1.5047037601470947,0.5859375,1.2973426580429077
2,0.6015625,1.2226834297180176,0.625,1.1216239929199219
3,0.703125,0.9898038506507874,0.7109375,0.9522621631622314
4,0.7352430820465088,0.8694475889205933,0.734375,0.8461276292800903
5,0.7951388955116272,0.6987529397010803,0.703125,0.800721287727356
6,0.8229166865348816,0.6322446465492249,0.7890625,0.6708422899246216
7,0.8446180820465088,0.5464882850646973,0.8046875,0.640815794467926
8,0.8784722089767456,0.48687314987182617,0.8671875,0.48518359661102295
9,0.8680555820465088,0.4624204635620117,0.8828125,0.5002323985099792
10,0.9131944179534912,0.38365381956100464,0.8828125,0.4575178623199463
11,0.9114583134651184,0.35641491413116455,0.8359375,0.5360252857208252
12,0.9201388955116272,0.3308054506778717,0.8828125,0.44584786891937256
13,0.9340277910232544,0.29589706659317017,0.9140625,0.36980193853378296
14,0.9401041865348816,0.2701311707496643,0.890625,0.3897913694381714
15,0.9427083134651184,0.2528247535228729,0.859375,0.47585931420326233
16,0.9513888955116272,0.22784331440925598,0.9296875,0.3425320088863373
17,0.9670138955116272,0.20457537472248077,0.9375,0.3043920397758484
18,0.9644097089767456,0.19816526770591736,0.9296875,0.2987843155860901
19,0.9713541865348816,0.17797960340976715,0.9296875,0.29188215732574463
20,0.9704861044883728,0.17350541055202484,0.9296875,0.24436213076114655
21,0.9826388955116272,0.14384157955646515,0.9375,0.25158804655075073
22,0.9817708134651184,0.14229260385036469,0.9296875,0.26525959372520447
23,0.9774305820465088,0.15209496021270752,0.953125,0.20699083805084229
24,0.984375,0.13759845495224,0.9140625,0.2717163562774658
25,0.9887152910232544,0.11604062467813492,0.921875,0.24646854400634766
26,0.9895833134651184,0.11233186721801758,0.953125,0.20778217911720276
27,0.9895833134651184,0.10624157637357712,0.9453125,0.19689315557479858
28,0.9930555820465088,0.09762898087501526,0.9375,0.20867830514907837
29,0.9913194179534912,0.09298927336931229,0.953125,0.17778480052947998
