epoch,accuracy,loss,val_accuracy,val_loss
0,0.5295138955116272,1.4662861824035645,0.7265625,1.006601333618164
1,0.7907986044883728,0.7864177227020264,0.84375,0.726116955280304
2,0.8871527910232544,0.5075972676277161,0.8671875,0.6090170741081238
3,0.9236111044883728,0.3894093632698059,0.859375,0.5598060488700867
4,0.9340277910232544,0.33006030321121216,0.875,0.5367514491081238
5,0.9661458134651184,0.2507786154747009,0.8828125,0.4253472089767456
6,0.9765625,0.2072163224220276,0.9140625,0.39951252937316895
7,0.9765625,0.18985801935195923,0.921875,0.3884895145893097
8,0.9557291865348816,0.24226127564907074,0.921875,0.342923104763031
9,0.9782986044883728,0.18820561468601227,0.8828125,0.3906751871109009
10,0.9826388955116272,0.15003365278244019,0.9140625,0.364942729473114
11,0.9930555820465088,0.11476686596870422,0.9296875,0.3420253396034241
12,0.9861111044883728,0.13126593828201294,0.9296875,0.29916951060295105
13,0.9982638955116272,0.08954119682312012,0.9453125,0.27288365364074707
14,0.9887152910232544,0.104863241314888,0.921875,0.32047417759895325
15,0.9947916865348816,0.10582341253757477,0.9453125,0.27430152893066406
16,0.9982638955116272,0.07787478715181351,0.9453125,0.23847870528697968
17,1.0,0.06592413038015366,0.9453125,0.25343143939971924
18,1.0,0.06334631890058517,0.9453125,0.24033978581428528
19,1.0,0.0589524582028389,0.953125,0.22514072060585022
20,1.0,0.05441965162754059,0.953125,0.22953052818775177
21,1.0,0.051743607968091965,0.9453125,0.234176903963089
22,1.0,0.04896610602736473,0.9453125,0.21054817736148834
23,1.0,0.04715115949511528,0.953125,0.19689525663852692
24,1.0,0.044901926070451736,0.9453125,0.21251456439495087
25,1.0,0.043289996683597565,0.9453125,0.22674915194511414
26,1.0,0.04159779101610184,0.9453125,0.225352481007576
27,1.0,0.039085958153009415,0.9453125,0.24029332399368286
28,1.0,0.03758437559008598,0.9453125,0.2420293241739273
29,1.0,0.035740967839956284,0.953125,0.21521081030368805
